Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mumbai(C),5154,5969,89,8760,251,0,3244,0,0,170,93,0,6,17,0,62,20,184,195,2,4,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pune,41214,9945,8277,9151,1649,3,14,0,2868,525,141,0,4,27,0,809,51,880,853,1243,920,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nashik,23100,5401,3115,2683,1623,0,129,0,1221,0,4,2,11,11,0,427,21,498,214,2117,1058,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nagpur,20758,7868,14235,3872,669,3,96,0,549,259,15,1,52,14,0,436,19,571,160,308,265,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Mumbai(C),Mumbai(W),Mumbai€,Borivali,Thane,Kalyan,Vashi Navi Mumbai,Vasai,Panvel,Pen-Raigad,Ratnagiri,Sindhudurg,Kolhapur,Sangli,Satara,Karad,Pune,Solapur,Pimpri-Chinchwad,Baramati,Akluj,Nashik,Ahmednagar,Srirampur,Malegaon,Dhule,Jalgaon,Nandurbar,Aurangabad,Jalna,Beed,Latur,Osmanabad,Ambejogai,Nanded,Parbhani,Hingoli,Amrawati,Buldhana,Yawatmal,Akola,Washim,Nagpur,Wardha,Nagpur(East),Nagpur,Gadchiroli,Chandrapur,Gondia,Bhandara
Cars,8760,8227,2245,0,20165,1034,0,0,0,4081,414,218,1350,924,1008,0,9151,763,2684,0,0,2683,725,480,0,364,844,0,1528,238,260,344,227,0,401,208,0,597,264,367,551,0,3872,94,0,0,49,424,280,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Category,Mumbai(C),Mumbai(W),Mumbai€,Borivali,Thane,Kalyan,Vashi Navi Mumbai,Vasai,Panvel,Pen-Raigad,Ratnagiri,Sindhudurg,Kolhapur,Sangli,Satara,Karad,Pune,Solapur,Pimpri-Chinchwad,Baramati,Akluj,Nashik,Ahmednagar,Srirampur,Malegaon,Dhule,Jalgaon,Nandurbar,Aurangabad,Jalna,Beed,Latur,Osmanabad,Ambejogai,Nanded,Parbhani,Hingoli,Amrawati,Buldhana,Yawatmal,Akola,Washim,Nagpur,Wardha,Nagpur(East),Nagpur,Gadchiroli,Chandrapur,Gondia,Bhandara
Motor Cycles,5154,10738,6525,0,20117,7271,0,0,0,7449,4041,2712,19160,12482,13882,0,41214,14021,15226,0,0,23100,9549,10814,0,6542,12627,0,14673,3613,5075,4355,2603,0,4191,3744,0,6419,5576,6296,7355,0,20758,2708,0,0,1826,7119,4630,0
Scooters,5969,5552,1813,0,6299,2694,0,0,0,3069,781,390,953,931,551,0,9945,423,5413,0,0,5401,550,83,0,184,796,0,3022,57,26,84,75,0,457,54,0,1214,213,619,627,0,7868,454,0,0,80,1108,675,0
Moped,89,90,427,0,489,403,0,0,0,348,157,194,3011,1305,1306,0,8277,2742,2030,0,0,3115,1498,788,0,1322,2773,0,602,414,891,831,63,0,552,675,0,3273,1122,2094,2745,0,14235,1112,0,0,256,1815,1630,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Category,Motor Cycles,Scooters,Moped,Cars,Jeeps,Stn. Wagons,Taxis meter fited,Luxury /Turist Cabs/,Auto-rikshaws,Stage carriages,Contract carriages /Mini Bus,School Buses,Private Service Vehicles,Ambulances,Articulated/Multi.,Trucks & Lorries,Tanker,Delivery Van (4 wheelers),Delivery Van (3 wheelers),Tractors,Trailors,Others,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pune Region,Pune,41214,9945,8277,9151,1649,3,14,0,2868,525,141,0,4,27,0,809,51,880,853,1243,920,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pune Region,Solapur,14021,423,2742,763,689,23,0,0,326,0,5,0,0,1,0,330,1,355,145,980,1295,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pune Region,Pimpri-Chinchwad,15226,5413,2030,2684,796,0,11,0,455,54,80,0,0,5,0,371,1,561,525,231,202,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pune Region,Baramati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pune Region,Akluj,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
